Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.6291533389907957,0.8368635135314382,0.6291533389907958,0.7033326853523207
Random Forest,0.7767913484344061,0.7968365702055441,0.7767913484344061,0.7838918519986288
